"","Ctr_S1","Ctr_S2","Ctr_S7","Ctr_S13","RS_S6","RS_S9","RS_S12","RS_S16"
"ENSG00000142611",72.755592830222,18.2521582052938,47.0778230885944,11.509531337277,4.5445618757812,17.2978977826133,17.7921569815851,1.18324662561608
"ENSG00000157911",188.367219793314,133.088653580267,185.695857738345,205.527345308519,165.422052278436,155.68108004352,176.874972346346,120.69115581284
"ENSG00000142655",223.250038273558,276.063892855068,301.646792382475,247.454923751456,301.758908551871,330.232594031708,280.488121827342,296.994903029635
"ENSG00000171621",530.2188408997,618.291859204327,547.49764628958,541.770082233255,1063.4274789328,564.540482178016,632.144871581025,672.084083349932
"ENSG00000142583",31.8928626105083,9.88658569453413,18.3080423122312,0.822109381234074,23.6317217540622,264.186075225367,117.218916584561,10.6492196305447
"ENSG00000173614",144.514533703866,184.042595236712,153.438830807271,136.470157284856,149.061629525623,163.543760853798,176.874972346346,181.03673371926
"ENSG00000171729",39.8660782631353,28.8992504917152,83.6939077130567,18.0864063871496,69.9862528870304,64.4739826442859,83.7277975604006,40.2303852709466
"ENSG00000157916",1559.76031204517,1915.71610496396,1374.84679649469,1811.10696685867,1885.9931784492,1622.85731924154,1856.66391090188,2113.27847335031
"ENSG00000157881",230.226601969606,193.168674339359,221.440130824129,258.964455088733,119.976433520624,217.009990363694,204.086506553476,201.151926354733
"ENSG00000048707",970.739005707345,720.960249109104,960.736315622797,775.249146503732,919.819323658114,1269.03668277899,1040.31788468798,1073.20468943378
"ENSG00000180758",79.7321565262706,49.4329284726707,81.0784730970237,55.081328542683,49.0812682584369,150.963471557352,84.7743950299056,88.7434969212058
"ENSG00000184677",300.988890886672,399.265960740802,368.776280860656,305.824689819076,328.117367431402,385.27135970366,321.305423138037,339.591781551814
"ENSG00000131697",172.42078848806,158.185371112546,221.440130824129,192.373595208773,134.519031523123,232.735351984252,240.717417986152,243.748804876912
"ENSG00000204138",313.945366322191,361.240631146439,379.238019324788,362.550237124227,216.321145287185,275.193828359757,230.251443291102,266.230490763617
"ENSG00000090020",949.809314619199,803.855467624814,1222.2797772261,813.066178040499,1298.83578409827,1437.29805211896,1183.70173801016,1022.32508453229
"ENSG00000158006",198.333739359098,218.265391871638,200.516653895865,159.48921995941,220.865707162966,223.300135011917,217.692273657042,205.884912857197
"ENSG00000171612",58.8024654381246,59.3195141672048,72.360357710247,53.4371097802148,46.3545311329682,72.3366634545647,74.3084203348555,31.9476588916341
"ENSG00000158161",380.721047412942,565.05639777222,416.725915487928,404.477815567164,318.119331304684,426.157299917109,358.982932040218,417.686058842475
"ENSG00000189337",200.327043272255,142.214732682914,225.799188517518,136.470157284856,138.154681023748,446.600270023834,196.760324266941,86.3770036699737
"ENSG00000028137",102.655151527573,82.8952185157093,98.5147038705772,32.884375249363,101.798186017499,147.818399233241,41.8638987802003,0
"ENSG00000130939",982.698829186286,959.759318961698,1013.91681948214,984.887038718421,998.894700296707,998.560462905404,1024.6189226454,1085.03715568994
"ENSG00000060656",220.260082403823,319.412768592641,210.978392359997,238.411720557882,106.34274789328,45.6035486996169,214.552481248527,179.853487093644
"ENSG00000134698",175.410744357795,162.74841066387,188.311292354378,219.503204789498,153.606191401404,237.452960470419,188.387544510901,155.005307955706
"ENSG00000163879",107.638411310465,146.01726564235,88.9247769451228,87.1435944108119,89.9823251404677,33.0232594031708,48.1434835972303,72.1780441625807
"ENSG00000116954",327.898493714288,253.248695098451,413.238669333218,276.228752094649,398.103620318433,459.18055932028,481.434835972303,227.183352118287
"ENSG00000179051",953.795922445513,965.082865104909,1269.35760031469,1320.30766626192,617.151502731086,935.659016423174,824.718805969946,830.639131182486
"ENSG00000215895",18.9363871749893,15.9706384296321,13.0771730801651,13.9758594809793,11.8158608770311,11.0077531343903,17.7921569815851,33.1309055172502
"ENSG00000126067",1877.69228619367,1822.93430075372,1904.03640047204,2033.07649979187,1695.12157966639,1542.6579749767,1793.86806273158,2278.93300093657
"ENSG00000054118",2294.29280404344,2235.1288735566,2657.28156988955,2456.46283112741,1729.66024992232,2152.80200585433,2006.3273490411,2432.75506226666
"ENSG00000158315",18.9363871749893,6.08405273509793,11.3335500028098,4.11054690617037,7.27129900124991,11.0077531343903,6.27958481703004,15.382206133009
"ENSG00000146463",1024.55821136258,1191.71382948731,970.326242548252,910.07508502612,980.716452793582,1088.19502414258,1012.05975301134,1167.86441948307
"ENSG00000142686",334.875057410337,358.198604778891,306.005850075864,323.911096206225,369.018424313433,344.38541949021,396.660440942398,366.806453940984
"ENSG00000117000",325.905189801131,314.089222449431,327.801138542806,299.247814769203,252.677640293435,424.584763755054,329.678202894077,308.827369285796
