"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000142611",23.8016210908729,-0.113989216976441,0.25840906825494,0.0318585605598902,0.181402568837288
"ENSG00000157911",166.418542112698,-0.107339220442136,0.166077280304827,0.350187146822724,0.674201629517838
"ENSG00000142655",282.236271837889,0.149227667704327,0.131148017207529,0.163102242442724,0.468512049424281
"ENSG00000171621",646.246918083579,0.232964707893103,0.207830326654467,0.0837611003152605,0.326189592158758
"ENSG00000142583",59.5744416491303,0.0999879123742363,0.251875266444816,0.0093000960756227,0.0793518432621797
"ENSG00000173614",161.122901684717,0.0727634639426501,0.137320648335329,0.500704663954153,0.781464109815234
"ENSG00000171729",53.6205076522151,0.0995635263620002,0.229203406405676,0.242655971270256,0.569703779847379
"ENSG00000157916",1767.52788278818,0.117463586857345,0.132985287533785,0.273671710156443,0.602197577540516
"ENSG00000157881",205.753089876794,-0.150808020693299,0.18627844384139,0.213687645056873,0.534379366446514
"ENSG00000048707",966.257912187731,0.241146474320007,0.158765495772947,0.0480419240867383,0.236606883676593
"ENSG00000180758",79.8609398006936,0.131021106693545,0.230698532096745,0.213226527123433,0.533903085955827
"ENSG00000184677",343.642719266515,-0.00331151982036083,0.12450358080434,0.973231153051465,0.991261540729051
"ENSG00000131697",199.517561500493,0.087513957205274,0.174746330800287,0.440326891523666,0.745008434930805
"ENSG00000204138",300.621395202413,-0.469524950393393,0.143137242417586,0.000156008108832509,0.00407608381800736
"ENSG00000090020",1091.39642453379,0.264904496504554,0.186467220336796,0.0467385205031296,0.232937345694108
"ENSG00000158006",205.543504221892,0.113168210650512,0.130211651263396,0.285080592346677,0.613713989516416
"ENSG00000171612",58.6083401137267,-0.0375135087278975,0.185502541718134,0.710382081648503,0.898551576293074
"ENSG00000158161",410.990849793093,-0.135396503453855,0.158110410034866,0.242982394003767,0.570101271673241
"ENSG00000189337",196.587925092755,0.0500942364744231,0.206915092272055,0.548028398061606,0.811310094804788
"ENSG00000028137",76.0537416492704,-0.00499128112371997,0.214204104372569,0.905467683144579,0.970745896968564
"ENSG00000130939",1006.04665598575,0.0543211003257108,0.0677324205260203,0.398982342199822,0.714787886884179
"ENSG00000060656",191.926903606176,-0.234484952146834,0.342941545808206,0.053917241517904,0.254076247854175
"ENSG00000134698",185.053207062996,-0.0154249223095991,0.15093696958192,0.886514787579947,0.965279369048524
"ENSG00000163879",84.131395076525,-0.381046989523859,0.421725699048207,0.0276673936764468,0.164845875131342
"ENSG00000116954",354.564622246239,0.120960509347522,0.198619445529108,0.294482786394952,0.623591656328071
"ENSG00000179051",964.589063804216,-0.373566950621678,0.19934895212232,0.0107889127679598,0.0872855517916216
"ENSG00000215895",16.9633418345028,0.0426344220411183,0.205113597403881,0.6046067491149,0.843431743376152
"ENSG00000126067",1868.54001319032,-0.0435437155203423,0.122813758318999,0.668037333898944,0.879259001568237
"ENSG00000054118",2245.58884321268,-0.162353131501139,0.127275849797554,0.122488681505416,0.402013342426373
"ENSG00000158315",10.0506724880933,-0.00142189037599376,0.208465113895039,0.980244144840717,0.993523988702386
"ENSG00000146463",1043.18862723185,0.0389330629884662,0.110904003431937,0.686382520686219,0.888446972731632
"ENSG00000142686",349.982668394793,0.132440359656649,0.102970260120959,0.1450618259601,0.440281752819928
"ENSG00000117000",322.851417723867,0.0289612466213606,0.141372349959795,0.789906184210986,0.931601745708968
"ENSG00000092853",257.749014137851,-1.89513390285033,0.590061981879236,4.77509076620713e-05,0.00159690477835784
"ENSG00000134697",865.128404956578,-0.339700233132829,0.216867968722676,0.0213190006110882,0.140201166682979
"ENSG00000116151",37.0027923670648,-0.0342286717459616,0.183076129644292,0.737223197454541,0.91080501027615
"ENSG00000214114",152.623158762127,-0.123668948554324,0.125151185723915,0.23217643258441,0.558626839882097
"ENSG00000116544",8.18655899089872,0.0296327063478683,0.219754240851936,0.342673822895163,0.667465343440297
"ENSG00000163866",362.969105962863,-0.188049954703356,0.1327315915163,0.0822778074953104,0.322402834229734
"ENSG00000162384",265.102353901113,-0.0580375627405032,0.163579890819117,0.597503387624722,0.839849590863383
"ENSG00000117859",896.923579634233,0.0788057213453073,0.19515210322308,0.455436448022939,0.754848076579301
"ENSG00000162396",51.5830487688551,0.0211391030073255,0.166176640013951,0.847115784565381,0.950211010454095
"ENSG00000162378",778.215888384587,0.0484714793377324,0.159305581101364,0.663158582979695,0.87732054264582
"ENSG00000243725",9.67225221598407,-0.0465041009677528,0.209594828632012,0.54218954568026,0.807940355852494
"ENSG00000162407",824.207788933676,0.130027846333065,0.232278036257152,0.211340773639868,0.531573636273967
"ENSG00000163877",192.767786056012,0.0713631041638435,0.117584483154352,0.478708239436025,0.768495895053032
"ENSG00000228929",22.5919460819767,-0.0225358899329861,0.194314043548897,0.802836579660845,0.935095088290533
"ENSG00000157184",108.422132471919,-0.0755815616731255,0.152368548204875,0.497514229321998,0.780125919386963
"ENSG00000198815",682.733764116194,0.0936211165291542,0.117358986121135,0.34666848138261,0.670783407383976
"ENSG00000134744",394.961987573552,-0.0658682101191454,0.134439746793092,0.536046847941669,0.803323071866327
"ENSG00000162385",222.698509487019,-0.301329557276925,0.165149055087232,0.0184501340665002,0.12783487406366
"ENSG00000123080",211.948341999194,-2.10933551810428,0.488438910777072,6.50359838459106e-07,6.05084788166376e-05
"ENSG00000162415",139.378408692916,-0.0125318412098342,0.217552766085202,0.653915036413377,0.872216630762321
"ENSG00000162600",103.987611673905,-0.0596893102691009,0.172111607873522,0.587244381779443,0.834752066209804
"ENSG00000116704",392.371120817899,-0.142770211987454,0.137617668769533,0.19269887918337,0.507491156955873
"ENSG00000157193",527.927764519102,-0.0646249214258135,0.190655806180157,0.531571761534205,0.800003374834867
"ENSG00000116205",183.260325969174,-0.0148098226943861,0.131453150966532,0.886471318658547,0.965279369048524
"ENSG00000162607",549.319971711918,-1.15878205203812,0.298159181098156,5.31326175117396e-06,0.000291006343609581
"ENSG00000154027",564.793100795835,-0.0138570743678855,0.178797137440542,0.890944702144459,0.966029535002631
"ENSG00000137960",9.18722102326613,0.0519335015811121,0.220771900872867,0.332645457001525,0.658857456034814
"ENSG00000116675",132.697559908145,1.65091314096845,0.832390054042786,0.00124553203165195,0.0182234394227787
"ENSG00000162433",862.827456399172,1.54523208783313,0.364027022611581,1.02782575759033e-06,8.57392413565449e-05
